state,state_code,region,division,total_delivered,p_delivered,m_delivered,j_delivered,total_administered,people_fully_vaccinated,p_administered,m_administered,j_administered,efficiency,p_efficiency,m_efficiency,j_efficiency,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,pacific_islander_pop,multiple_races_pop,white_vax,black_vax,hispanic_vax,asian_vax,native_vax,pacific_islander_vax,other_vax,percent_of_vaccinations_with_known_race,percent_of_vaccinations_with_unknown_race,white_metric,black_metric,hispanic_metric,asian_metric,native_metric,pacific_islander_metric
Alaska,AK,West,Pacific,601225,311025,272700,17500,407233,163100,215702,185830,5645,0.6773387666846854,0.6935198135198135,0.6814448111477814,0.32257142857142856,0.6,0.022,0.07,0.06,0.151,0.015,0.083,0.36,0.01,0.04,0.05,0.22,0.01,0.35,0.86,0.14,0.6,0.4545454545454546,0.5714285714285714,0.8333333333333334,1.456953642384106,0.6666666666666667
Alabama,AL,South,East South Central,2796630,1356030,1336800,103800,1728736,656899,830260,858175,40301,0.6181497016051462,0.6122725898394579,0.6419621484141232,0.3882562620423892,0.654,0.265,0.044,0.014,0.004,NA,0.019,0.76,0.21,NA,0.02,0,0,0.01,0.72,0.28,1.162079510703364,0.7924528301886792,NA,1.4285714285714286,0,NA
Arkansas,AR,South,West South Central,1763540,868140,835100,60300,1183295,419462,578382,578261,26392,0.6709771255542829,0.6662312530237059,0.6924452161417795,0.4376782752902156,0.721,0.152,0.078,0.016,0.006,0.004,0.024,0.84,0.11,0.1,0.01,0,0,0.03,0.9,0.1,1.1650485436893203,0.7236842105263158,1.2820512820512822,0.625,0,0
Arizona,AZ,West,Mountain,4304045,2135445,2015000,153600,3451567,1242599,1839524,1562755,47798,0.8019356210262671,0.8614241996398877,0.775560794044665,0.3111848958333333,0.542,0.043,0.318,0.033,0.039,0.002,0.024,0.58,0.02,0.15,0.04,0.03,NA,0.21,0.85,0.15,1.070110701107011,0.4651162790697675,0.4716981132075471,1.2121212121212122,0.7692307692307692,NA
California,CA,West,Pacific,23660110,11921910,10851200,887000,18223412,6348325,9303927,8562134,355818,0.7702167065157347,0.7804057403553625,0.7890495060454144,0.40114768883878243,0.364,0.053,0.395,0.147,0.004,0.004,0.033,0.35,0.03,0.22,0.14,0,0,0.25,0.87,0.13,0.9615384615384615,0.5660377358490566,0.5569620253164557,0.9523809523809526,0,0
Colorado,CO,West,Mountain,3330360,1620060,1600200,110100,2691248,1008589,1333879,1296822,59863,0.8080952209370759,0.8233516042615706,0.8104124484439446,0.5437148047229791,0.678,0.038,0.218,0.032,0.005,0.001,0.028,0.83,0.03,0.09,0.03,0.01,0,0.02,0.88,0.12,1.2241887905604718,0.7894736842105263,0.4128440366972477,0.9375,2,0
Connecticut,CT,Northeast,New England,2426455,1280955,1058300,87200,1954259,725544,1052954,853195,47972,0.8053967619428343,0.8220070182012639,0.8061938958707361,0.5501376146788991,0.657,0.1,0.169,0.046,0.002,NA,0.026,0.75,0.06,0.07,0.03,0,NA,0.08,0.93,0.07,1.1415525114155252,0.6,0.41420118343195267,0.6521739130434783,0,NA
District of Columbia,DC,South,South Atlantic,514945,279045,218200,17700,374297,97469,219727,146656,7914,0.7268679179329831,0.7874249672991811,0.6721173235563703,0.4471186440677966,0.367,0.45,0.112,0.037,0.003,NA,0.031,0.41,0.36,0.08,NA,NA,NA,0.23,0.9,0.1,1.11716621253406,0.7999999999999999,0.7142857142857143,NA,NA,NA
Delaware,DE,South,South Atlantic,592965,305565,267400,20000,463476,159773,258667,194555,10187,0.7816245478232273,0.846520380279155,0.72758040388930445,0.50935,0.614,0.218,0.097,0.039,0.003,NA,0.028,0.74,0.11,0.04,0.03,NA,NA,0.11,0.91,0.09,1.205211726384365,0.5045871559633027,0.41237113402061853,0.7692307692307692,NA,NA
Florida,FL,South,South Atlantic,13153105,6758505,5886400,508200,9563326,3384591,4796062,4518766,235356,0.7270774467321595,0.7096335654112855,0.7676620684968741,0.4631168831168831,0.53,0.15,0.266,0.027,0.002,0.001,0.024,0.8,0.07,0.19,NA,0,NA,0.12,0.84,0.16,1.509433962264151,0.46666666666666673,0.7142857142857143,NA,0,NA
