,long,lat,group,order,region,subregion,COUNTYFP
1,-73.9172821,40.90345764,1797,52972,new york,Bronx,005
2,-73.91155243,40.90918732,1797,52973,new york,Bronx,005
3,-73.8084259,40.88626862,1797,52974,new york,Bronx,005
4,-73.8256073,40.86907959,1797,52975,new york,Bronx,005
5,-73.81988525,40.85762024,1797,52976,new york,Bronx,005
6,-73.81988525,40.82324219,1797,52977,new york,Bronx,005
7,-73.81415558,40.81178284,1797,52978,new york,Bronx,005
8,-73.89437103,40.80605316,1797,52979,new york,Bronx,005
9,-73.9172821,40.90345764,1797,52980,new york,Bronx,005
10,-73.86571503,40.63416672,1818,53609,new york,Brooklyn,047
11,-73.89437103,40.62270737,1818,53610,new york,Brooklyn,047
12,-73.92301178,40.61124802,1818,53611,new york,Brooklyn,047
13,-73.94593048,40.58259964,1818,53612,new york,Brooklyn,047
14,-73.95738983,40.56541061,1818,53613,new york,Brooklyn,047
15,-74.00322723,40.58259964,1818,53614,new york,Brooklyn,047
16,-74.00322723,40.60551834,1818,53615,new york,Brooklyn,047
17,-74.00895691,40.62270737,1818,53616,new york,Brooklyn,047
18,-74.02041626,40.64562607,1818,53617,new york,Brooklyn,047
19,-74.02615356,40.66281509,1818,53618,new york,Brooklyn,047
20,-74.01468658,40.67427444,1818,53619,new york,Brooklyn,047
21,-73.99176788,40.68000412,1818,53620,new york,Brooklyn,047
22,-73.96884918,40.69719315,1818,53621,new york,Brooklyn,047
23,-73.94593048,40.72010803,1818,53622,new york,Brooklyn,047
24,-73.93447876,40.7086525,1818,53623,new york,Brooklyn,047
25,-73.94020844,40.69719315,1818,53624,new york,Brooklyn,047
26,-73.92301178,40.68000412,1818,53625,new york,Brooklyn,047
27,-73.89437103,40.67427444,1818,53626,new york,Brooklyn,047
28,-73.88290405,40.65708542,1818,53627,new york,Brooklyn,047
29,-73.86571503,40.63416672,1818,53628,new york,Brooklyn,047
30,-73.92874146,40.80605316,1825,53802,new york,Manhattan,061
31,-73.93447876,40.78886414,1825,53803,new york,Manhattan,061
32,-73.95166016,40.7774086,1825,53804,new york,Manhattan,061
33,-73.96311951,40.7544899,1825,53805,new york,Manhattan,061
34,-73.96884918,40.73730087,1825,53806,new york,Manhattan,061
35,-73.97457886,40.72584152,1825,53807,new york,Manhattan,061
36,-74.00322723,40.71438217,1825,53808,new york,Manhattan,061
37,-74.02041626,40.7086525,1825,53809,new york,Manhattan,061
38,-74.02615356,40.72010803,1825,53810,new york,Manhattan,061
39,-74.00322723,40.76594543,1825,53811,new york,Manhattan,061
40,-73.97457886,40.79459763,1825,53812,new york,Manhattan,061
41,-73.95166016,40.83470154,1825,53813,new york,Manhattan,061
42,-73.93447876,40.84043503,1825,53814,new york,Manhattan,061
43,-73.92874146,40.83470154,1825,53815,new york,Manhattan,061
44,-73.93447876,40.82324219,1825,53816,new york,Manhattan,061
45,-73.92874146,40.80605316,1825,53817,new york,Manhattan,061
46,-73.7625885,40.7774086,1835,54121,new york,Queens,081
47,-73.72821045,40.76021576,1835,54122,new york,Queens,081
48,-73.71102142,40.73730087,1835,54123,new york,Queens,081
49,-73.71102142,40.72584152,1835,54124,new york,Queens,081
50,-73.72248077,40.72010803,1835,54125,new york,Queens,081
51,-73.72821045,40.71438217,1835,54126,new york,Queens,081
52,-73.7167511,40.66281509,1835,54127,new york,Queens,081
53,-73.72248077,40.64562607,1835,54128,new york,Queens,081
54,-73.73394012,40.62270737,1835,54129,new york,Queens,081
55,-73.74539185,40.61124802,1835,54130,new york,Queens,081
56,-73.7167511,40.57686996,1835,54131,new york,Queens,081
57,-73.76831818,40.56541061,1835,54132,new york,Queens,081
58,-73.81415558,40.56541061,1835,54133,new york,Queens,081
59,-73.85426331,40.55395126,1835,54134,new york,Queens,081
60,-73.88290405,40.5482254,1835,54135,new york,Queens,081
61,-73.91155243,40.55395126,1835,54136,new york,Queens,081
62,-73.90010071,40.56541061,1835,54137,new york,Queens,081
63,-73.86571503,40.57686996,1835,54138,new york,Queens,081
64,-73.8256073,40.58832932,1835,54139,new york,Queens,081
65,-73.79122925,40.59406281,1835,54140,new york,Queens,081
66,-73.77977753,40.61124802,1835,54141,new york,Queens,081
67,-73.77977753,40.62270737,1835,54142,new york,Queens,081
68,-73.79696655,40.63989639,1835,54143,new york,Queens,081
69,-73.83133698,40.63416672,1835,54144,new york,Queens,081
70,-73.86571503,40.63416672,1835,54145,new york,Queens,081
71,-73.88290405,40.65708542,1835,54146,new york,Queens,081
72,-73.89437103,40.67427444,1835,54147,new york,Queens,081
73,-73.92301178,40.68000412,1835,54148,new york,Queens,081
74,-73.94020844,40.69719315,1835,54149,new york,Queens,081
75,-73.93447876,40.7086525,1835,54150,new york,Queens,081
76,-73.94593048,40.72010803,1835,54151,new york,Queens,081
