County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel"
Texas,--,"27,513,735","18,628,638","11,184,780",8093541,"22,421,178","3,734,229","1,241,763","271,813","8,302,974","850,859"
Federal Long-Term Care Vaccination Program,--,"720,525",--,--,--,--,--,--,--,--,--
Federal Pharmacy Retail Vaccination Program,--,"5,509,700",--,--,--,--,--,--,--,--,--
Anderson,4/5N,"17,870","20,542","14,457",7284,"48,045","8,658","2,051",833,"20,206","1,574"
Andrews,10-Sep,"6,100","10,566","5,812",4943,"13,503","1,833",309,106,"5,450",41
Angelina,4/5N,"58,100","42,771","25,352",18941,"67,056","14,422","6,534","1,752","28,054","3,266"
Aransas,11,"6,840","18,829","10,761",8646,"19,803","6,791",370,252,"6,701",39
Archer,3-Feb,"3,200","5,248","2,980",2542,"6,921","1,677",80,13,"2,381",330
Armstrong,1,"2,100","1,010",576,458,"1,499",470,32,86,466,0
Atascosa,8,"19,000","24,359","15,091",10203,"38,768","7,605","1,124",651,"15,239","1,557"
Austin,6/5S,"8,700","17,060","10,228",7891,"23,704","5,933",667,396,"7,873","1,079"
Bailey,1,"24,135","3,832","2,145",1863,"5,089","1,036",114,74,"1,982",0
Bandera,8,"5,100","12,048","7,264",5482,"19,763","6,439",352,180,"6,555",20
Bastrop,7,"62,200","51,537","32,682",20477,"68,839","13,865","1,462",696,"29,356","2,746"
Baylor,3-Feb,"5,550","2,218","1,276",1067,"2,793",844,137,97,908,0
Bee,11,"83,660","19,070","11,392",8045,"26,496","4,091",981,684,"11,359",989
Bell,7,"222,970","134,279","82,220",57576,"272,969","40,534","15,894","2,466","95,066","12,910"
Bexar,8,"1,502,800","1,315,047","785,170",563605,"1,552,823","247,843","100,704","17,248","614,646","61,232"
Blanco,7,"5,600","8,497","4,907",3866,"10,092","3,004",90,102,"3,388",303
Borden,10-Sep,0,265,152,132,543,174,9,0,163,0
Bosque,7,"11,100","10,786","6,223",5125,"15,224","4,741",624,407,"5,126",579
Bowie,4/5N,"67,090","34,479","20,250",16437,"73,689","15,832","6,332","1,467","29,102","3,303"
Brazoria,6/5S,"224,000","243,204","143,201",109104,"287,683","45,752","9,762","2,648","105,966","12,034"
