County Name ,Race/Ethnicity,People Vaccinated with at least One Dose,People Fully Vaccinated ,Doses Administered,
Anderson,Asian,137,87,216,
Anderson,Black,"2,916",831,"3,586",
Anderson,Hispanic,"1,156",634,"1,684",
Anderson,Other,"1,674",377,"2,018",
Anderson,Unknown,904,597,"1,382",
Anderson,White,"7,670","4,758","11,656",
Andrews,Asian,28,19,47,
Andrews,Black,41,34,75,
Andrews,Hispanic,"2,331","1,978","4,298",
Andrews,Other,123,95,213,
Andrews,Unknown,"1,271","1,126","2,255",
Andrews,White,"2,018","1,691","3,678",
Angelina,Asian,291,182,462,
Angelina,Black,"2,961","2,132","4,885",
Angelina,Hispanic,"4,282","2,675","6,726",
Angelina,Other,"1,530",957,"2,434",
Angelina,Unknown,"3,928","3,459","7,306",
Angelina,White,"12,360","9,536","20,958",
Aransas,Asian,192,139,324,
Aransas,Black,60,39,96,
Aransas,Hispanic,"1,598","1,243","2,714",
Aransas,Other,"1,193",969,"2,133",
Aransas,Unknown,"1,248","1,081","2,315",
Aransas,White,"6,470","5,175","11,247",
Archer,Asian,14,7,20,
Archer,Black,49,13,56,
Archer,Hispanic,130,95,202,
Archer,Other,504,451,942,
Archer,Unknown,585,516,"1,091",
Archer,White,"1,698","1,460","2,937",
Armstrong,Asian,4,3,7,
Armstrong,Black,7,5,9,
Armstrong,Hispanic,33,21,53,
Armstrong,Other,53,47,99,
Armstrong,Unknown,137,125,262,
Armstrong,White,342,257,580,
Atascosa,Asian,76,49,125,
Atascosa,Black,56,31,82,
Atascosa,Hispanic,"7,105","4,648","11,288",
Atascosa,Other,"1,193",705,"1,835",
Atascosa,Unknown,"1,562","1,200","2,737",
Atascosa,White,"5,099","3,570","8,292",
Austin,Asian,82,62,136,
Austin,Black,606,447,958,
Austin,Hispanic,"1,926","1,228","2,941",
Austin,Other,"1,075",852,"1,906",
Austin,Unknown,926,758,"1,570",
Austin,White,"5,613","4,544","9,549",
Bailey,Asian,9,10,16,
Bailey,Black,5,3,7,
Bailey,Hispanic,597,451,950,
Bailey,Other,43,33,63,
Bailey,Unknown,"1,207","1,141","2,342",
Bailey,White,284,225,454,
Bandera,Asian,44,28,67,
Bandera,Black,81,68,142,
Bandera,Hispanic,837,568,"1,345",
Bandera,Other,513,400,865,
Bandera,Unknown,"1,287","1,015","2,131",
Bandera,White,"4,502","3,403","7,498",
Bastrop,Asian,358,176,524,
Bastrop,Black,878,582,"1,371",
Bastrop,Hispanic,"7,714","4,289","11,608",
Bastrop,Other,"9,523","6,502","15,852",
Bastrop,Unknown,"4,768","2,671","7,278",
Bastrop,White,"9,441","6,257","14,904",
Baylor,Asian,25,11,29,
Baylor,Black,17,9,23,
Baylor,Hispanic,72,42,99,
Baylor,Other,31,28,56,
Baylor,Unknown,560,525,"1,085",
Baylor,White,571,452,926,
Bee,Asian,80,63,142,
Bee,Black,592,87,671,
Bee,Hispanic,"3,354","2,751","5,912",
Bee,Other,"1,423",345,"1,755",
Bee,Unknown,"2,888","2,593","5,468",
Bee,White,"3,055","2,206","5,122",
Bell,Asian,"2,965","1,863","4,617",
Bell,Black,"10,295","6,506","15,948",
Bell,Hispanic,"12,602","7,493","19,207",
Bell,Other,"6,830","4,549","10,863",
Bell,Unknown,"12,027","9,360","21,105",
Bell,White,"37,501","27,805","62,539",
Bexar,Asian,"22,618","15,862","37,709",
Bexar,Black,"28,236","19,549","46,329",
Bexar,Hispanic,"346,721","243,490","577,748",
Bexar,Other,"77,613","52,986","125,523",
Bexar,Unknown,"75,380","54,073","127,934",
Bexar,White,"234,602","177,645","399,804",
Blanco,Asian,18,14,32,
Blanco,Black,24,17,38,
Blanco,Hispanic,573,347,876,
Blanco,Other,254,183,411,
Blanco,Unknown,352,277,608,
Blanco,White,"3,686","3,028","6,532",
Borden,Asian,2,1,2,
Borden,Black,1,0,1,
Borden,Hispanic,23,18,36,
Borden,Other,15,13,27,
Borden,Unknown,14,12,26,
Borden,White,97,88,173,
Bosque,Asian,21,16,36,
Bosque,Black,52,45,88,
Bosque,Hispanic,520,387,862,
Bosque,Other,461,386,825,
Bosque,Unknown,"1,234",987,"2,185",
Bosque,White,"3,935","3,304","6,790",
Bowie,Asian,461,360,812,
Bowie,Black,"3,466","2,763","5,803",
Bowie,Hispanic,"1,318",967,"2,158",
Bowie,Other,"1,534","1,301","2,773",
Bowie,Unknown,"1,473","1,011","2,310",
Bowie,White,"11,998","10,035","20,623",
Brazoria,Asian,"12,466","9,862","21,692",
Brazoria,Black,"18,288","13,306","30,395",
Brazoria,Hispanic,"30,954","22,297","51,129",
Brazoria,Other,"20,406","16,208","35,720",
Brazoria,Unknown,"9,453","7,135","16,290",
Brazoria,White,"51,634","40,296","87,978",
Brazos,Asian,"7,275","4,975","12,114",
Brazos,Black,"5,326","3,655","8,532",
Brazos,Hispanic,"14,656","9,258","23,305",
Brazos,Other,"5,198","3,536","8,524",
Brazos,Unknown,"6,043","2,875","8,580",
Brazos,White,"47,538","35,483","80,521",
Brewster,Asian,36,28,63,
Brewster,Black,19,13,28,
Brewster,Hispanic,"1,476","1,194","2,535",
Brewster,Other,227,175,395,
Brewster,Unknown,681,570,"1,208",
Brewster,White,"1,864","1,592","3,236",
Briscoe,Black,9,7,15,
Briscoe,Hispanic,97,83,178,
Briscoe,Other,13,10,23,
Briscoe,Unknown,39,37,76,
Briscoe,White,306,282,576,
Brooks,Asian,7,7,14,
Brooks,Black,6,4,10,
Brooks,Hispanic,"2,028","1,730","3,643",
Brooks,Other,123,96,212,
Brooks,Unknown,260,227,486,
Brooks,White,655,549,"1,182",
Brown,Asian,76,62,113,
Brown,Black,185,129,264,
Brown,Hispanic,"1,106",858,"1,650",
Brown,Other,"1,339","1,103","2,209",
Brown,Unknown,"2,572","2,384","4,018",
Brown,White,"4,868","4,150","7,592",
Burleson,Asian,39,21,58,
Burleson,Black,600,449,967,
Burleson,Hispanic,736,505,"1,152",
Burleson,Other,378,318,670,
Burleson,Unknown,461,322,704,
Burleson,White,"3,846","3,044","6,563",
Burnet,Asian,168,93,247,
Burnet,Black,168,92,237,
Burnet,Hispanic,"1,589",933,"2,343",
Burnet,Other,"1,259",904,"2,063",
Burnet,Unknown,"1,583","1,192","2,647",
Burnet,White,"11,977","8,735","19,705",
Caldwell,Asian,74,41,108,
Caldwell,Black,427,258,639,
Caldwell,Hispanic,"4,804","2,999","7,377",
Caldwell,Other,"1,518","1,027","2,470",
Caldwell,Unknown,"2,505","1,820","4,013",
Caldwell,White,"4,958","3,533","7,900",
Calhoun,Asian,471,373,799,
Calhoun,Black,167,127,273,
Calhoun,Hispanic,"2,717","2,074","4,351",
Calhoun,Other,292,201,443,
Calhoun,Unknown,739,560,"1,275",
Calhoun,White,"3,283","2,784","5,566",
Callahan,Asian,24,19,38,
Callahan,Black,4,3,7,
Callahan,Hispanic,219,156,354,
Callahan,Other,122,94,202,
Callahan,Unknown,746,674,"1,407",
Callahan,White,"2,455","2,117","4,245",
Cameron,Asian,783,546,"1,263",
Cameron,Black,342,217,533,
Cameron,Hispanic,"140,533","88,645","220,740",
Cameron,Other,"5,874","3,748","9,271",
Cameron,Unknown,"33,802","27,945","61,362",
