County Name ,Race/Ethnicity,People Vaccinated with at least One Dose,People Fully Vaccinated ,Doses Administered
Anderson,Asian,153,113,255
Anderson,Black,"3,097",999,"3,908"
Anderson,Hispanic,"1,250",822,"1,953"
Anderson,Other,"1,780",458,"2,199"
Anderson,Unknown,"1,130",848,"1,927"
Anderson,White,"8,198","5,509","12,732"
Andrews,Asian,30,21,51
Andrews,Black,43,37,79
Andrews,Hispanic,"2,388","2,022","4,399"
Andrews,Other,129,100,222
Andrews,Unknown,"1,276","1,124","2,258"
Andrews,White,"2,079","1,813","3,856"
Angelina,Asian,304,236,529
Angelina,Black,"3,106","2,521","5,406"
Angelina,Hispanic,"4,484","3,531","7,772"
Angelina,Other,"1,662","1,108","2,712"
Angelina,Unknown,"4,001","3,522","7,418"
Angelina,White,"12,811","10,873","22,670"
Aransas,Asian,202,150,344
Aransas,Black,64,44,105
Aransas,Hispanic,"1,658","1,337","2,860"
Aransas,Other,"1,232","1,011","2,211"
Aransas,Unknown,"1,255","1,084","2,324"
Aransas,White,"6,707","5,472","11,740"
Archer,Asian,9,9,17
Archer,Black,19,14,27
Archer,Hispanic,133,109,218
Archer,Other,503,463,950
Archer,Unknown,596,545,"1,131"
Archer,White,"1,786","1,646","3,192"
Armstrong,Asian,4,4,8
Armstrong,Black,6,4,8
Armstrong,Hispanic,31,24,54
Armstrong,Other,54,49,102
Armstrong,Unknown,138,126,263
Armstrong,White,349,273,603
Atascosa,Asian,83,59,141
Atascosa,Black,63,41,99
Atascosa,Hispanic,"7,653","5,544","12,709"
Atascosa,Other,"1,328",934,"2,173"
Atascosa,Unknown,"1,576","1,223","2,774"
Atascosa,White,"5,491","4,211","9,269"
Austin,Asian,78,70,140
Austin,Black,631,504,"1,038"
Austin,Hispanic,"1,961","1,452","3,194"
Austin,Other,"1,102",893,"1,969"
Austin,Unknown,928,775,"1,588"
Austin,White,"5,783","4,876","10,007"
Bailey,Asian,9,9,16
Bailey,Black,5,3,7
Bailey,Hispanic,629,470,991
Bailey,Other,42,35,64
Bailey,Unknown,"1,206","1,144","2,344"
Bailey,White,294,235,473
Bandera,Asian,45,34,75
Bandera,Black,72,67,136
Bandera,Hispanic,909,689,"1,527"
Bandera,Other,554,464,958
Bandera,Unknown,"1,329","1,070","2,222"
Bandera,White,"4,752","3,880","8,175"
Bastrop,Asian,330,219,536
Bastrop,Black,964,685,"1,552"
Bastrop,Hispanic,"8,660","5,654","13,896"
Bastrop,Other,"9,915","7,634","17,365"
Bastrop,Unknown,"4,872","2,898","7,604"
Bastrop,White,"9,975","7,248","16,330"
Baylor,Asian,6,5,10
Baylor,Black,10,8,17
Baylor,Hispanic,51,37,78
Baylor,Other,33,28,59
Baylor,Unknown,552,530,"1,082"
Baylor,White,516,449,884
Bee,Asian,82,65,146
Bee,Black,605,130,726
Bee,Hispanic,"3,479","2,887","6,158"
Bee,Other,"1,476",431,"1,889"
Bee,Unknown,"2,932","2,608","5,527"
Bee,White,"3,130","2,338","5,304"
Bell,Asian,"3,235","2,402","5,405"
Bell,Black,"11,488","8,261","18,731"
Bell,Hispanic,"14,022","9,870","22,901"
Bell,Other,"7,604","5,776","12,755"
