long,lat,order,hole,piece,group,id,state,white_vax,black_vax,hispanic_vax,asian_vax,native_vax,pacific_islander_vax,date,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,pacific_islander_pop,white_metric,black_metric,hispanic_metric,asian_metric,native_metric,pacific_islander_metric,white_metric_cat,black_metric_cat,hispanic_metric_cat,asian_metric_cat,native_metric_cat,pacific_islander_metric_cat
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.79,0.19,NA,0.02,0,0,March 1,0.654,0.265,0.044,0.014,0.004,NA,1.2079510703363914,0.71698113207547165,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.76,0.21,NA,0.02,0,0,March 15,0.654,0.265,0.044,0.014,0.004,NA,1.162079510703364,0.7924528301886792,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.76,0.21,NA,0.02,0,0,March 29,0.654,0.265,0.044,0.014,0.004,NA,1.162079510703364,0.7924528301886792,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.72,0.23,NA,0.02,0,0,April 5,0.654,0.265,0.044,0.014,0.004,NA,1.1009174311926604,0.8679245283018868,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.72,0.24,NA,0.02,0,0,April 12,0.654,0.265,0.044,0.014,0.004,NA,1.1009174311926604,0.9056603773584905,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.71,0.24,NA,0.02,0,0,April 19,0.654,0.265,0.044,0.014,0.004,NA,1.0856269113149846,0.9056603773584905,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.7,0.24,NA,0.02,NA,NA,April 26,0.654,0.265,0.044,0.014,0.004,NA,1.0703363914373087,0.9056603773584905,NA,1.4285714285714286,NA,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),NA,NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.7,0.24,NA,0.02,0,0,May 3,0.654,0.265,0.044,0.014,0.004,NA,1.0703363914373087,0.9056603773584905,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-94.408726,35.798214,1,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.69,0.24,0.05,0.02,0,0,May 10,0.654,0.265,0.044,0.014,0.004,NA,1.055045871559633,0.9056603773584905,1.1363636363636365,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),Above share (1.05x-1.50x),Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
-91.685852,34.512972,2,FALSE,1,Alabama (United States).1,Alabama (United States),Alabama,0.79,0.19,NA,0.02,0,0,March 1,0.654,0.265,0.044,0.014,0.004,NA,1.2079510703363914,0.71698113207547165,NA,1.4285714285714286,0,NA,Above share (1.05x-1.50x),Below share (0.50x-0.95x),NA,Above share (1.05x-1.50x),Extremely below share (<0.50x),NA
